Row Id.,S_CODE,S_CITY,E_CODE,E_CITY,VACATION_No,VACATION_Yes,SW_No,SW_Yes,SLOT_Controlled,SLOT_Free,GATE_Constrained,GATE_Free,COUPON,NEW,HI,S_INCOME,E_INCOME,S_POP,E_POP,DISTANCE,PAX,FARE
18,*,Orlando             FL,*,Baltimore/Wash Intl MD,0,1,0,1,0,1,0,1,1.13,3,5706.759269,"$22,360.00","$29,838.00",1421287,7145897,788,11013,$106.11
19,*,Phoenix             AZ,*,Baltimore/Wash Intl MD,1,0,0,1,0,1,0,1,1.86,3,1230.48384,"$23,025.00","$29,838.00",2753373,7145897,2001,4408,$181.16
20,*,Salt Lake City      UT,*,Baltimore/Wash Intl MD,1,0,0,1,0,1,0,1,1.93,3,2000.669813,"$21,121.00","$29,838.00",1228816,7145897,1866,2767,$157.50
21,*,San Diego           CA,*,Baltimore/Wash Intl MD,1,0,0,1,0,1,0,1,1.87,3,1572.931639,"$23,903.00","$29,838.00",2673620,7145897,2290,3170,$200.20
22,*,San Francisco       CA,*,Baltimore/Wash Intl MD,1,0,1,0,0,1,0,1,1.52,3,2967.591593,"$38,813.00","$29,838.00",1653017,7145897,2454,6417,$246.85
23,*,St Louis            MO,*,Baltimore/Wash Intl MD,1,0,0,1,0,1,0,1,1.14,3,4191.241228,"$25,824.00","$29,838.00",2549844,7145897,729,10264,$99.70
24,*,Tampa               FL,*,Baltimore/Wash Intl MD,0,1,0,1,0,1,0,1,1.13,3,5201.338349,"$23,654.00","$29,838.00",2195215,7145897,846,7082,$106.77
25,ORD,Chicago             IL,*,Birmingham          AL,1,0,0,1,1,0,0,1,1.16,3,3627.461424,"$29,260.00","$23,858.00",7830332,895414,576,4138,$113.50
26,MDW,Chicago             IL,*,Birmingham          AL,1,0,0,1,0,1,0,1,1.16,3,3627.461424,"$29,260.00","$23,858.00",7830332,895414,576,4138,$113.50
27,*,Seattle/Tacoma      WA,*,Boise               ID,1,0,0,1,0,1,0,1,1.07,3,5255.235449,"$30,916.00","$23,901.00",2230831,372606,403,5995,$69.12
28,*,Atlanta             GA,*,Boston              MA,1,0,1,0,0,1,0,1,1.25,3,5736.335021,"$26,993.00","$30,124.00",3532657,5787293,939,14005,$210.00
29,JFK,New York/Newark     NY,*,Buffalo             NY,1,0,1,0,1,0,0,1,1.01,3,4040.093943,"$32,991.00","$23,184.00",8621121,1173217,291,12432,$134.30
30,LGA,New York/Newark     NY,*,Buffalo             NY,1,0,1,0,1,0,0,1,1.01,3,4040.093943,"$32,991.00","$23,184.00",8621121,1173217,291,12432,$134.30
31,EWR,New York/Newark     NY,*,Buffalo             NY,1,0,1,0,0,1,1,0,1.01,3,4040.093943,"$32,991.00","$23,184.00",8621121,1173217,291,12432,$134.30
32,JFK,New York/Newark     NY,*,Charleston          SC,1,0,1,0,1,0,0,1,1.34,0,2587.886458,"$32,991.00","$18,851.00",8621121,254153,637,6003,$118.95
33,LGA,New York/Newark     NY,*,Charleston          SC,1,0,1,0,1,0,0,1,1.34,3,2587.886458,"$32,991.00","$18,851.00",8621121,254153,637,6003,$118.95
34,EWR,New York/Newark     NY,*,Charleston          SC,1,0,1,0,0,1,1,0,1.34,1,2587.886458,"$32,991.00","$18,851.00",8621121,254153,637,6003,$118.95
35,*,Atlanta             GA,*,Charlotte           NC,1,0,1,0,0,1,1,0,1.01,3,4435.920971,"$26,993.00","$25,237.00",3532657,1318892,227,7335,$97.96
36,*,Boston              MA,*,Charlotte           NC,1,0,1,0,0,1,1,0,1.25,3,8589.167342,"$30,124.00","$25,237.00",5787293,1318892,722,3263,$237.80
37,ORD,Chicago             IL,*,Charlotte           NC,1,0,1,0,1,0,1,0,1.16,3,4523.314188,"$29,260.00","$25,237.00",7830332,1318892,589,5153,$234.15
38,MDW,Chicago             IL,*,Charlotte           NC,1,0,1,0,0,1,1,0,1.16,3,4523.314188,"$29,260.00","$25,237.00",7830332,1318892,589,5153,$234.15
39,*,Dallas/Fort Worth   TX,*,Charlotte           NC,1,0,1,0,0,1,1,0,1.14,3,4439.862612,"$28,637.00","$25,237.00",3036732,1318892,940,4493,$203.17
40,JFK,New York/Newark     NY,*,Charlotte           NC,1,0,1,0,1,0,1,0,1.12,3,8714.026298,"$32,991.00","$25,237.00",8621121,1318892,539,9305,$250.73
41,LGA,New York/Newark     NY,*,Charlotte           NC,1,0,1,0,1,0,1,0,1.12,3,8714.026298,"$32,991.00","$25,237.00",8621121,1318892,539,9305,$250.73
42,EWR,New York/Newark     NY,*,Charlotte           NC,1,0,1,0,0,1,1,0,1.12,3,8714.026298,"$32,991.00","$25,237.00",8621121,1318892,539,9305,$250.73
43,*,Atlanta             GA,ORD,Chicago             IL,1,0,1,0,1,0,0,1,1.04,3,2712.373604,"$26,993.00","$29,260.00",3532657,7830332,595,30877,$106.60
44,*,Atlanta             GA,MDW,Chicago             IL,1,0,1,0,0,1,0,1,1.04,3,2712.373604,"$26,993.00","$29,260.00",3532657,7830332,595,30877,$106.60
45,*,Austin              TX,ORD,Chicago             IL,1,0,0,1,1,0,0,1,1.25,3,4417.156661,"$23,665.00","$29,260.00",1038660,7830332,974,4980,$136.27
46,*,Austin              TX,MDW,Chicago             IL,1,0,0,1,0,1,0,1,1.25,3,4417.156661,"$23,665.00","$29,260.00",1038660,7830332,974,4980,$136.27
47,*,Boston              MA,ORD,Chicago             IL,1,0,1,0,1,0,0,1,1.15,1,3977.225847,"$30,124.00","$29,260.00",5787293,7830332,854,20718,$230.87
48,*,Boston              MA,MDW,Chicago             IL,1,0,1,0,0,1,0,1,1.15,3,3977.225847,"$30,124.00","$29,260.00",5787293,7830332,854,20718,$230.87
49,*,Cincinnati          OH,ORD,Chicago             IL,1,0,1,0,1,0,1,0,1.01,3,3910.806542,"$25,059.00","$29,260.00",1595139,7830332,254,7069,$180.56
50,*,Cincinnati          OH,MDW,Chicago             IL,1,0,1,0,0,1,1,0,1.01,0,3910.806542,"$25,059.00","$29,260.00",1595139,7830332,254,7069,$180.56
51,*,Atlanta             GA,*,Cincinnati          OH,1,0,1,0,0,1,1,0,1.16,3,9350.126412,"$26,993.00","$25,059.00",3532657,1595139,371,3892,$215.83
52,*,Atlanta             GA,*,Cleveland           OH,1,0,1,0,0,1,0,1,1.12,3,4478.867091,"$26,993.00","$26,046.00",3532657,2915745,561,4821,$197.10
53,ORD,Chicago             IL,*,Cleveland           OH,1,0,0,1,1,0,0,1,1.01,3,2800.90554,"$29,260.00","$26,046.00",7830332,2915745,316,24405,$69.10
54,MDW,Chicago             IL,*,Cleveland           OH,1,0,0,1,0,1,0,1,1.01,1,2800.90554,"$29,260.00","$26,046.00",7830332,2915745,316,24405,$69.10
55,*,Dallas/Fort Worth   TX,*,Colorado Springs    CO,1,0,1,0,0,1,0,1,1.06,3,5110.53773,"$28,637.00","$22,263.00",3036732,472254,592,6098,$91.83
56,*,Houston             TX,*,Colorado Springs    CO,1,0,1,0,0,1,0,1,1.19,3,4037.088979,"$27,211.00","$22,263.00",3770125,472254,817,4281,$111.66
57,*,Las Vegas           NV,*,Colorado Springs    CO,0,1,1,0,0,1,0,1,1.16,3,3465.136552,"$24,575.00","$22,263.00",1197234,472254,602,8810,$57.62
58,*,Los Angeles         CA,*,Colorado Springs    CO,1,0,1,0,0,1,0,1,1.36,3,4384.631971,"$24,706.00","$22,263.00",9056076,472254,833,5762,$104.72
59,JFK,New York/Newark     NY,*,Colorado Springs    CO,1,0,1,0,1,0,0,1,1.36,3,2421.039215,"$32,991.00","$22,263.00",8621121,472254,1636,5185,$154.74
60,LGA,New York/Newark     NY,*,Colorado Springs    CO,1,0,1,0,1,0,0,1,1.36,3,2421.039215,"$32,991.00","$22,263.00",8621121,472254,1636,5185,$154.74
61,EWR,New York/Newark     NY,*,Colorado Springs    CO,1,0,1,0,0,1,1,0,1.36,3,2421.039215,"$32,991.00","$22,263.00",8621121,472254,1636,5185,$154.74
62,*,Phoenix             AZ,*,Colorado Springs    CO,1,0,1,0,0,1,0,1,1.09,3,4351.313269,"$23,025.00","$22,263.00",2753373,472254,550,7599,$77.98
63,IAD,Washington          DC,*,Colorado Springs    CO,1,0,1,0,0,1,0,1,1.68,3,2661.534147,"$31,981.00","$22,263.00",4549784,472254,1476,4945,$157.20
64,DCA,Washington          DC,*,Colorado Springs    CO,1,0,1,0,1,0,0,1,1.68,3,2661.534147,"$31,981.00","$22,263.00",4549784,472254,1476,4945,$157.20
65,*,Atlanta             GA,*,Columbus            OH,1,0,1,0,0,1,0,1,1.13,3,5356.506862,"$26,993.00","$24,502.00",3532657,1442203,445,6075,$113.20
66,*,Boston              MA,*,Columbus            OH,1,0,1,0,0,1,0,1,1.22,3,3789.64015,"$30,124.00","$24,502.00",5787293,1442203,633,4758,$143.59
67,ORD,Chicago             IL,*,Columbus            OH,1,0,0,1,1,0,0,1,1.01,3,2668.203414,"$29,260.00","$24,502.00",7830332,1442203,286,14516,$75.07
68,MDW,Chicago             IL,*,Columbus            OH,1,0,0,1,0,1,0,1,1.01,0,2668.203414,"$29,260.00","$24,502.00",7830332,1442203,286,14516,$75.07
69,*,Albuquerque         NM,*,Dallas/Fort Worth   TX,1,0,0,1,0,1,0,1,1.02,3,5222.299347,"$22,089.00","$28,637.00",668159,3036732,573,10941,$84.46
70,*,Atlanta             GA,*,Dallas/Fort Worth   TX,1,0,1,0,0,1,0,1,1.05,3,4624.896004,"$26,993.00","$28,637.00",3532657,3036732,734,23075,$113.99
71,*,Austin              TX,*,Dallas/Fort Worth   TX,1,0,0,1,0,1,0,1,1,3,5502.333763,"$23,665.00","$28,637.00",1038660,3036732,184,18843,$67.17
72,*,Boston              MA,*,Dallas/Fort Worth   TX,1,0,1,0,0,1,0,1,1.19,3,5605.055738,"$30,124.00","$28,637.00",5787293,3036732,1559,8756,$320.37
73,ORD,Chicago             IL,*,Dallas/Fort Worth   TX,1,0,1,0,1,0,0,1,1.14,3,6205.96649,"$29,260.00","$28,637.00",7830332,3036732,805,20264,$244.50
74,MDW,Chicago             IL,*,Dallas/Fort Worth   TX,1,0,1,0,0,1,0,1,1.14,3,6205.96649,"$29,260.00","$28,637.00",7830332,3036732,805,20264,$244.50
75,*,Corpus Christi      TX,*,Dallas/Fort Worth   TX,1,0,0,1,0,1,0,1,1.02,3,4386.552721,"$18,933.00","$28,637.00",382155,3036732,354,5391,$78.62
76,*,Atlanta             GA,*,Denver              CO,1,0,1,0,0,1,0,1,1.23,3,4202.658977,"$26,993.00","$29,055.00",3532657,1862106,1200,7621,$210.90
77,*,Boston              MA,*,Denver              CO,1,0,1,0,0,1,0,1,1.35,3,6140.914486,"$30,124.00","$29,055.00",5787293,1862106,1755,5820,$311.46
78,ORD,Chicago             IL,*,Denver              CO,1,0,1,0,1,0,0,1,1.08,3,5792.282889,"$29,260.00","$29,055.00",7830332,1862106,902,16263,$174.06
79,MDW,Chicago             IL,*,Denver              CO,1,0,1,0,0,1,0,1,1.08,3,5792.282889,"$29,260.00","$29,055.00",7830332,1862106,902,16263,$174.06
80,*,Dallas/Fort Worth   TX,*,Denver              CO,1,0,1,0,0,1,0,1,1.06,3,4157.610917,"$28,637.00","$29,055.00",3036732,1862106,638,11298,$155.81
81,*,Atlanta             GA,*,Detroit             MI,1,0,1,0,0,1,1,0,1.05,3,4312.946371,"$26,993.00","$26,506.00",3532657,4459144,600,12752,$106.56
82,*,Boston              MA,*,Detroit             MI,1,0,1,0,0,1,1,0,1.06,3,8162.766577,"$30,124.00","$26,506.00",5787293,4459144,616,10358,$110.42
83,ORD,Chicago             IL,*,Detroit             MI,1,0,0,1,1,0,1,0,1,3,3059.779377,"$29,260.00","$26,506.00",7830332,4459144,237,34113,$74.28
84,MDW,Chicago             IL,*,Detroit             MI,1,0,0,1,0,1,1,0,1,3,3059.779377,"$29,260.00","$26,506.00",7830332,4459144,237,34113,$74.28
85,*,Dallas/Fort Worth   TX,*,Detroit             MI,1,0,1,0,0,1,1,0,1.22,3,4033.323101,"$28,637.00","$26,506.00",3036732,4459144,1001,6401,$245.28
86,*,Denver              CO,*,Detroit             MI,1,0,1,0,0,1,1,0,1.21,3,4213.707596,"$29,055.00","$26,506.00",1862106,4459144,1139,3851,$256.48
87,*,Dallas/Fort Worth   TX,*,El Paso             TX,1,0,0,1,0,1,0,1,1.02,3,5063.074129,"$28,637.00","$14,600.00",3036732,677757,548,10989,$84.23
88,*,Atlanta             GA,*,Fort Lauderdale     FL,0,1,1,0,0,1,0,1,1.02,3,7032.265309,"$26,993.00","$26,752.00",3532657,1440377,578,11425,$105.10
89,*,Boston              MA,*,Fort Lauderdale     FL,0,1,1,0,0,1,0,1,1.27,3,2682.544585,"$30,124.00","$26,752.00",5787293,1440377,1229,10483,$121.09
90,ORD,Chicago             IL,*,Fort Lauderdale     FL,0,1,0,1,1,0,0,1,1.15,3,2482.763847,"$29,260.00","$26,752.00",7830332,1440377,1168,10117,$153.95
91,MDW,Chicago             IL,*,Fort Lauderdale     FL,0,1,0,1,0,1,0,1,1.15,3,2482.763847,"$29,260.00","$26,752.00",7830332,1440377,1168,10117,$153.95
92,*,Dallas/Fort Worth   TX,*,Fort Lauderdale     FL,0,1,1,0,0,1,0,1,1.16,3,4677.028852,"$28,637.00","$26,752.00",3036732,1440377,1118,3402,$207.84
93,*,Detroit             MI,*,Fort Lauderdale     FL,0,1,1,0,0,1,1,0,1.17,3,4681.680729,"$26,506.00","$26,752.00",4459144,1440377,1128,6103,$113.39
94,*,Boston              MA,*,Fort Meyers         FL,0,1,1,0,0,1,0,1,1.47,3,2565.518087,"$30,124.00","$26,752.00",5787293,379566,1245,6390,$126.62
95,ORD,Chicago             IL,*,Fort Meyers         FL,0,1,1,0,1,0,0,1,1.2,3,3247.314249,"$29,260.00","$26,752.00",7830332,379566,1108,7196,$136.68
96,MDW,Chicago             IL,*,Fort Meyers         FL,0,1,1,0,0,1,0,1,1.2,3,3247.314249,"$29,260.00","$26,752.00",7830332,379566,1108,7196,$136.68
97,*,Detroit             MI,*,Fort Meyers         FL,0,1,1,0,0,1,1,0,1.13,3,4516.900078,"$26,506.00","$26,752.00",4459144,379566,1088,7049,$108.15
98,JFK,New York/Newark     NY,*,Greensboro/High Pt  NC,1,0,1,0,1,0,0,1,1.07,3,4840.48312,"$32,991.00","$24,348.00",8621121,111745,457,7574,$180.85
99,LGA,New York/Newark     NY,*,Greensboro/High Pt  NC,1,0,1,0,1,0,0,1,1.07,3,4840.48312,"$32,991.00","$24,348.00",8621121,111745,457,7574,$180.85
100,EWR,New York/Newark     NY,*,Greensboro/High Pt  NC,1,0,1,0,0,1,1,0,1.07,3,4840.48312,"$32,991.00","$24,348.00",8621121,111745,457,7574,$180.85
101,*,Atlanta             GA,*,Hartford            CT,1,0,1,0,0,1,0,1,1.34,3,5137.408727,"$26,993.00","$30,268.00",3532657,1106780,854,5806,$175.81
102,ORD,Chicago             IL,*,Hartford            CT,1,0,1,0,1,0,0,1,1.13,3,4146.133542,"$29,260.00","$30,268.00",7830332,1106780,779,6614,$240.88
103,MDW,Chicago             IL,*,Hartford            CT,1,0,1,0,0,1,0,1,1.13,3,4146.133542,"$29,260.00","$30,268.00",7830332,1106780,779,6614,$240.88
104,*,Las Vegas           NV,*,Honolulu (Intl)     HI,0,1,1,0,0,1,0,1,1.56,3,3135.144092,"$24,575.00","$26,681.00",1197234,873131,2764,6462,$183.19
105,*,Los Angeles         CA,*,Honolulu (Intl)     HI,0,1,1,0,0,1,0,1,1.03,3,1706.891974,"$24,706.00","$26,681.00",9056076,873131,2555,32824,$167.16
106,*,San Francisco       CA,*,Honolulu (Intl)     HI,0,1,1,0,0,1,0,1,1.04,3,2447.141781,"$38,813.00","$26,681.00",1653017,873131,2401,19055,$177.09
107,*,Seattle/Tacoma      WA,*,Honolulu (Intl)     HI,0,1,1,0,0,1,0,1,1.29,3,3333.109325,"$30,916.00","$26,681.00",2230831,873131,2679,6464,$221.89
108,*,Atlanta             GA,*,Houston             TX,1,0,1,0,0,1,0,1,1.19,3,4468.800676,"$26,993.00","$27,211.00",3532657,3770125,701,7201,$233.16
109,*,Austin              TX,*,Houston             TX,1,0,0,1,0,1,0,1,1,3,6269.394719,"$23,665.00","$27,211.00",1038660,3770125,138,9874,$67.10
110,*,Boston              MA,*,Houston             TX,1,0,1,0,0,1,0,1,1.41,3,5497.259041,"$30,124.00","$27,211.00",5787293,3770125,1605,4272,$349.97
111,ORD,Chicago             IL,*,Houston             TX,1,0,0,1,1,0,0,1,1.09,3,2572.41906,"$29,260.00","$27,211.00",7830332,3770125,939,16868,$139.56
112,MDW,Chicago             IL,*,Houston             TX,1,0,0,1,0,1,0,1,1.09,3,2572.41906,"$29,260.00","$27,211.00",7830332,3770125,939,16868,$139.56
113,*,Cleveland           OH,*,Houston             TX,1,0,0,1,0,1,0,1,1.31,3,6172.951609,"$26,046.00","$27,211.00",2230955,3770125,1117,4057,$191.63
114,*,Corpus Christi      TX,*,Houston             TX,1,0,0,1,0,1,0,1,1,3,5826.135729,"$18,933.00","$27,211.00",382155,3770125,184,5312,$65.31
115,*,Dallas/Fort Worth   TX,*,Houston             TX,1,0,0,1,0,1,0,1,1,3,4992.627423,"$28,637.00","$27,211.00",3036732,3770125,234,54429,$67.78
116,*,Denver              CO,*,Houston             TX,1,0,1,0,0,1,0,1,1.14,3,4103.102495,"$29,055.00","$27,211.00",1862106,3770125,866,5860,$204.68
117,*,Detroit             MI,*,Houston             TX,1,0,0,1,0,1,1,0,1.19,3,3649.802349,"$26,506.00","$27,211.00",4459144,3770125,1102,4660,$177.22
118,*,Atlanta             GA,*,Indianapolis        IN,1,0,1,0,0,1,0,1,1.12,3,5180.127619,"$26,993.00","$25,475.00",3532657,1489247,430,5378,$109.78
119,ORD,Chicago             IL,*,Indianapolis        IN,1,0,0,1,1,0,0,1,1,3,3702.182637,"$29,260.00","$25,475.00",7830332,1489247,167,9355,$62.63
120,MDW,Chicago             IL,*,Indianapolis        IN,1,0,0,1,0,1,0,1,1,0,3702.182637,"$29,260.00","$25,475.00",7830332,1489247,167,9355,$62.63
121,*,Detroit             MI,*,Indianapolis        IN,1,0,0,1,0,1,1,0,1.11,3,8437.667086,"$26,506.00","$25,475.00",4459144,1489247,241,4790,$169.58
122,*,Fort Meyers         FL,*,Indianapolis        IN,0,1,1,0,0,1,0,1,1.21,3,6134.258156,"$24,510.00","$25,475.00",379566,1489247,943,3624,$105.73
123,*,Las Vegas           NV,*,Indianapolis        IN,0,1,1,0,0,1,0,1,1.34,3,2883.653178,"$24,575.00","$25,475.00",1197234,1489247,1588,7406,$114.13
124,*,Los Angeles         CA,*,Indianapolis        IN,1,0,1,0,0,1,0,1,1.52,3,1787.71117,"$24,706.00","$25,475.00",9056076,1489247,1815,5869,$153.50
125,JFK,New York/Newark     NY,*,Indianapolis        IN,1,0,1,0,1,0,0,1,1.27,0,3543.340079,"$32,991.00","$25,475.00",8621121,1489247,657,7109,$195.64
126,LGA,New York/Newark     NY,*,Indianapolis        IN,1,0,1,0,1,0,0,1,1.27,3,3543.340079,"$32,991.00","$25,475.00",8621121,1489247,657,7109,$195.64
127,EWR,New York/Newark     NY,*,Indianapolis        IN,1,0,1,0,0,1,1,0,1.27,3,3543.340079,"$32,991.00","$25,475.00",8621121,1489247,657,7109,$195.64
128,*,Orlando             FL,*,Indianapolis        IN,0,1,0,1,0,1,0,1,1.24,3,3009.476387,"$22,360.00","$25,475.00",1421287,1489247,828,7675,$97.36
129,*,Phoenix             AZ,*,Indianapolis        IN,1,0,0,1,0,1,0,1,1.27,3,3446.749658,"$23,025.00","$25,475.00",2753373,1489247,1491,5100,$138.08
130,*,San Francisco       CA,*,Indianapolis        IN,1,0,1,0,0,1,0,1,1.71,3,1892.369111,"$38,813.00","$25,475.00",1653017,1489247,1941,3814,$157.45
131,*,Tampa               FL,*,Indianapolis        IN,0,1,0,1,0,1,0,1,1.28,3,3076.530483,"$23,654.00","$25,475.00",2195215,1489247,844,5160,$99.43
132,*,Atlanta             GA,*,Jacksonville        FL,0,1,1,0,0,1,0,1,1,3,5963.75302,"$26,993.00","$23,614.00",3532657,1008768,280,8571,$87.59
133,ORD,Chicago             IL,*,Jacksonville        FL,0,1,1,0,1,0,0,1,1.45,3,3198.811521,"$29,260.00","$23,614.00",7830332,1008768,865,3789,$158.63
134,MDW,Chicago             IL,*,Jacksonville        FL,0,1,1,0,0,1,0,1,1.45,3,3198.811521,"$29,260.00","$23,614.00",7830332,1008768,865,3789,$158.63
135,*,Fort Lauderdale     FL,*,Jacksonville        FL,0,1,1,0,0,1,0,1,1.01,3,3305.698178,"$26,752.00","$23,614.00",1440377,1008768,303,1859,$114.93
136,*,Atlanta             GA,*,Kansas City         MO,1,0,1,0,0,1,0,1,1.11,0,6722.008778,"$26,993.00","$25,450.00",3532657,1694803,685,6426,$116.18
137,ORD,Chicago             IL,*,Kansas City         MO,1,0,0,1,1,0,0,1,1.04,3,3296.049512,"$29,260.00","$25,450.00",7830332,1694803,407,20529,$75.71
138,MDW,Chicago             IL,*,Kansas City         MO,1,0,0,1,0,1,0,1,1.04,0,3296.049512,"$29,260.00","$25,450.00",7830332,1694803,407,20529,$75.71
139,*,Dallas/Fort Worth   TX,*,Kansas City         MO,1,0,1,0,0,1,0,1,1.2,3,7520.085442,"$28,637.00","$25,450.00",3036732,1694803,458,9381,$116.57
140,*,Denver              CO,*,Kansas City         MO,1,0,1,0,0,1,0,1,1.02,3,5505.791153,"$29,055.00","$25,450.00",1862106,1694803,541,7679,$110.25
141,*,Detroit             MI,*,Kansas City         MO,1,0,0,1,0,1,1,0,1.31,3,5569.746732,"$26,506.00","$25,450.00",4459144,1694803,639,4987,$123.27
142,*,Houston             TX,*,Kansas City         MO,1,0,0,1,0,1,0,1,1.08,2,4343.848698,"$27,211.00","$25,450.00",3770125,1694803,652,4649,$127.78
143,*,Las Vegas           NV,*,Kansas City         MO,0,1,0,1,0,1,0,1,1.39,0,2844.240054,"$24,575.00","$25,450.00",1197234,1694803,1140,8309,$78.24
144,*,Los Angeles         CA,*,Kansas City         MO,1,0,0,1,0,1,0,1,1.31,2,1843.517891,"$24,706.00","$25,450.00",9056076,1694803,1365,7959,$116.00
145,*,Albuquerque         NM,*,Las Vegas           NV,0,1,0,1,0,1,0,1,1.08,0,7641.728632,"$22,089.00","$24,575.00",668159,1197234,479,7170,$72.43
146,*,Atlanta             GA,*,Las Vegas           NV,0,1,1,0,0,1,0,1,1.44,3,4112.438959,"$26,993.00","$24,575.00",3532657,1197234,1744,7881,$143.62
147,*,Austin              TX,*,Las Vegas           NV,0,1,0,1,0,1,0,1,1.35,3,3757.25253,"$23,665.00","$24,575.00",1038660,1197234,1087,5738,$80.31
148,*,Boston              MA,*,Las Vegas           NV,0,1,1,0,0,1,0,1,1.49,3,1833.954846,"$30,124.00","$24,575.00",5787293,1197234,2372,10235,$133.35
149,*,Burbank             CA,*,Las Vegas           NV,0,1,0,1,0,1,0,1,1,3,9592.991435,"$24,706.00","$24,575.00",9056076,1197234,226,16845,$52.92
150,ORD,Chicago             IL,*,Las Vegas           NV,0,1,0,1,1,0,0,1,1.15,3,2044.210288,"$29,260.00","$24,575.00",7830332,1197234,1519,23739,$123.74
151,MDW,Chicago             IL,*,Las Vegas           NV,0,1,0,1,0,1,0,1,1.15,3,2044.210288,"$29,260.00","$24,575.00",7830332,1197234,1519,23739,$123.74
152,*,Cleveland           OH,*,Las Vegas           NV,0,1,0,1,0,1,0,1,1.36,0,4070.447532,"$26,046.00","$24,575.00",2230955,1197234,1831,4543,$159.12
153,*,Columbus            OH,*,Las Vegas           NV,0,1,1,0,0,1,0,1,1.42,3,4956.577531,"$24,502.00","$24,575.00",125722,1197234,1769,7231,$115.84
154,*,Dallas/Fort Worth   TX,*,Las Vegas           NV,0,1,1,0,0,1,0,1,1.16,3,4446.514122,"$28,637.00","$24,575.00",3036732,1197234,1052,6986,$164.88
155,*,Denver              CO,*,Las Vegas           NV,0,1,1,0,0,1,0,1,1.13,3,3760.095415,"$29,055.00","$24,575.00",1862106,1197234,618,10206,$89.47
156,*,Detroit             MI,*,Las Vegas           NV,0,1,1,0,0,1,1,0,1.19,3,5307.269665,"$26,506.00","$24,575.00",4459144,1197234,1756,6675,$163.78
